number,Nanoparticle,Coat,Diameter,Concentration,Zeta_potential,Cells,Human_Animal_cells,Cell_Source,Cell_morphology,tissue_source,Exposure_time,Test,Test_indicator,Biochemical_metric,Interference_checked,Colloidal_stability_checked,Positive_control,χ,∑x,No/∑x,NMetal,MW,Noxygen,q,Cell_viability
196,26,0,50,0.3,-2.24,2,1,1,1,2,48,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,106.2909
197,26,0,50,3,-2.24,2,1,1,1,2,48,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,92.8333
198,26,0,50,30,-2.24,2,1,1,1,2,48,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,91.0694
199,26,0,50,300,-2.24,2,1,1,1,2,48,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,84.6182
200,26,0,50,3000,-2.24,2,1,1,1,2,48,2,2,2,1,1,1,1.24,2.48,1.2096774,2,382.52,3,3,58.0732
201,27,0,20,2,0.124,8,1,1,1,7,24,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,87.237
202,27,0,20,10,0.124,8,1,1,1,7,24,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,95.0442
203,27,0,20,50,0.124,8,1,1,1,7,24,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,90.1082
204,27,0,20,250,0.124,8,1,1,1,7,24,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,78.4464
205,27,0,20,1250,0.124,8,1,1,1,7,24,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,73.3333
206,27,0,20,2,0.124,8,1,1,1,7,24,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,93.4463
207,27,0,20,10,0.124,8,1,1,1,7,24,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,107.1292
208,27,0,20,50,0.124,8,1,1,1,7,24,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,109.4309
209,27,0,20,250,0.124,8,1,1,1,7,24,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,85.0064
210,27,0,20,1250,0.124,8,1,1,1,7,24,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,86.8606
211,27,0,20,2,0.124,8,1,1,1,7,48,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,179.5956
212,27,0,20,10,0.124,8,1,1,1,7,48,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,143.0063
213,27,0,20,50,0.124,8,1,1,1,7,48,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,183.826
214,27,0,20,250,0.124,8,1,1,1,7,48,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,163.1359
215,27,0,20,1250,0.124,8,1,1,1,7,48,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,99.2748
216,27,0,20,2,0.124,8,1,1,1,7,48,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,112.5214
217,27,0,20,10,0.124,8,1,1,1,7,48,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,113.7764
218,27,0,20,50,0.124,8,1,1,1,7,48,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,80.0627
219,27,0,20,250,0.124,8,1,1,1,7,48,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,80.1198
220,27,0,20,1250,0.124,8,1,1,1,7,48,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,76.3548
221,27,0,20,2,0.124,2,1,1,1,2,24,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,99.2903
222,27,0,20,10,0.124,2,1,1,1,2,24,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,94.9944
223,27,0,20,50,0.124,2,1,1,1,2,24,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,101.6623
224,27,0,20,250,0.124,2,1,1,1,2,24,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,93.2947
225,27,0,20,1250,0.124,2,1,1,1,2,24,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,82.2282
226,27,0,20,2,0.124,2,1,1,1,2,24,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,105.2039
227,27,0,20,10,0.124,2,1,1,1,2,24,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,111.8418
228,27,0,20,50,0.124,2,1,1,1,2,24,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,104.5278
229,27,0,20,250,0.124,2,1,1,1,2,24,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,91.6615
230,27,0,20,1250,0.124,2,1,1,1,2,24,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,103.1346
231,27,0,20,2,0.124,2,1,1,1,2,48,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,95.9131
232,27,0,20,10,0.124,2,1,1,1,2,48,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,97.6291
233,27,0,20,50,0.124,2,1,1,1,2,48,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,102.0358
234,27,0,20,250,0.124,2,1,1,1,2,48,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,96.9183
235,27,0,20,1250,0.124,2,1,1,1,2,48,8,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,77.6159
236,27,0,20,2,0.124,2,1,1,1,2,48,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,120.6981
237,27,0,20,10,0.124,2,1,1,1,2,48,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,96.4598
238,27,0,20,50,0.124,2,1,1,1,2,48,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,112.409
239,27,0,20,250,0.124,2,1,1,1,2,48,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,89.8139
240,27,0,20,1250,0.124,2,1,1,1,2,48,2,2,2,1,1,1,1.14,2.28,1.31578947,2,336.482,3,3,93.7338
